"id";"companyName";"symbol"
100881783200940256;"FMC Corporation";"FMC"
100881783200940257;"Eversource Energy";"ES"
100881783200940258;"Quanta Services, Inc.";"PWR"
100881783200940259;"Western Digital Corporation";"WDC"
100881783200940260;"O'Reilly Automotive, Inc.";"ORLY"
100881783200940261;"Hormel Foods Corporation";"HRL"
100881783200940262;"Ventas, Inc.";"VTR"
100881783200940263;"Welltower Inc.";"WELL"
100881783200940264;"Iron Mountain Incorporated";"IRM"
100881783200940265;"Republic Services, Inc.";"RSG"
100881783200940266;"Wynn Resorts, Limited";"WYNN"
100881783200940267;"The J. M. Smucker Company";"SJM"
100881783200940268;"WEC Energy Group, Inc.";"WEC"
100881783200940269;"Nasdaq, Inc.";"NDAQ"
100881783200940270;"Amphenol Corporation";"APH"
100881783200940271;"L3Harris Technologies, Inc.";"LHX"
100881783200940272;"Salesforce, Inc.";"CRM"
100881783200940273;"Fastenal Company";"FAST"
100881783200940274;"CF Industries Holdings, Inc.";"CF"
100881783200940275;"Invesco Ltd.";"IVZ"
100881783200940276;"DaVita Inc.";"DVA"
100881783200940277;"Mastercard Incorporated";"MA"
100881783200940278;"Coterra Energy Inc.";"CTRA"
100881783200940279;"Intuitive Surgical, Inc.";"ISRG"
100881783200940280;"Healthpeak Properties, Inc.";"DOC"
100881783200940281;"Philip Morris International Inc.";"PM"
100881783200940282;"American Tower Corporation";"AMT"
100881783200940283;"Jacobs Engineering Group Inc.";"J"
100881783200940284;"Expeditors International of Washington, Inc.";"EXPD"
100881783200940285;"Expedia Group, Inc.";"EXPE"
100881783200940286;"Intercontinental Exchange, Inc.";"ICE"
100881783200940287;"Microchip Technology Incorporated";"MCHP"
100881783200940288;"Akamai Technologies, Inc.";"AKAM"
100881783200940289;"Discover Financial Services";"DFS"
100881783200940290;"Assurant, Inc.";"AIZ"
100881783200940291;"Host Hotels & Resorts, Inc.";"HST"
100881783200940292;"C.H. Robinson Worldwide, Inc.";"CHRW"
100881783200940293;"Ralph Lauren Corporation";"RL"
100881783200940294;"AvalonBay Communities, Inc.";"AVB"
100881783200940295;"Cognizant Technology Solutions Corporation";"CTSH"
100881783200940296;"CBRE Group, Inc.";"CBRE"
100881783200940297;"Fidelity National Information Services, Inc.";"FIS"
100881783200940298;"CME Group Inc.";"CME"
100881783200940299;"Juniper Networks, Inc.";"JNPR"
100881783200940300;"Kimco Realty Corporation";"KIM"
100881783200940301;"Boston Properties, Inc.";"BXP"
100881783200940302;"Alphabet Inc.";"GOOG"
100881783200940303;"VeriSign, Inc.";"VRSN"
100881783200940304;"The Estée Lauder Companies Inc.";"EL"
100881783200940305;"Amazon.com, Inc.";"AMZN"
100881783200940306;"Lennar Corporation";"LEN"
100881783200940307;"Ameriprise Financial, Inc.";"AMP"
100881783200940308;"Public Storage";"PSA"
100881783200940309;"Tyson Foods, Inc.";"TSN"
100881783200940310;"Constellation Brands, Inc.";"STZ"
100881783200940311;"D.R. Horton, Inc.";"DHI"
100881783200940312;"Laboratory Corporation of America Holdings";"LH"
100881783200940313;"Tapestry, Inc.";"TPR"
100881783200940314;"Thermo Fisher Scientific Inc.";"TMO"
100881783200940315;"Gilead Sciences, Inc.";"GILD"
100881783200940316;"Viatris Inc.";"VTRS"
100881783200940317;"M&T Bank Corporation";"MTB"
100881783200940318;"Biogen Inc.";"BIIB"
100881783200940319;"Prologis, Inc.";"PLD"
100881783200940320;"Gen Digital Inc.";"GEN"
100881783200940321;"McCormick & Company, Incorporated";"MKC"
100881783200940322;"State Street Corporation";"STT"
100881783200940323;"Valero Energy Corporation";"VLO"
100881783200940324;"Quest Diagnostics Incorporated";"DGX"
100881783200940325;"Comcast Corporation";"CMCSA"
100881783200940326;"The Travelers Companies, Inc.";"TRV"
100881783200940327;"Elevance Health Inc.";"ELV"
100881783200940328;"Electronic Arts Inc.";"EA"
100881783200940329;"eBay Inc.";"EBAY"
100881783200940330;"The Goldman Sachs Group, Inc.";"GS"
100881783200940331;"Principal Financial Group, Inc.";"PFG"
100881783200940332;"Prudential Financial, Inc.";"PRU"
100881783200940333;"United Parcel Service, Inc.";"UPS"
100881783200940334;"Simon Property Group, Inc.";"SPG"
100881783200940335;"Waters Corporation";"WAT"
100881783200940336;"Equity Residential";"EQR"
100881783200940337;"NVIDIA Corporation";"NVDA"
100881783200940338;"PPL Corporation";"PPL"
100881783200940339;"Cencora";"COR"
100881783200940340;"Zimmer Biomet Holdings, Inc.";"ZBH"
100881783200940341;"Fiserv, Inc.";"FI"
100881783200940342;"Texas Instruments Incorporated";"TXN"
100881783200940343;"Cintas Corporation";"CTAS"
100881783200940344;"Stryker Corporation";"SYK"
100881783200940345;"MetLife, Inc.";"MET"
100881783200940346;"Intuit Inc.";"INTU"
100881783200940347;"Robert Half International Inc.";"RHI"
100881783200940348;"EOG Resources, Inc.";"EOG"
100881783200940349;"NiSource Inc.";"NI"
100881783200940350;"Devon Energy Corporation";"DVN"
100881783200940351;"Starbucks Corporation";"SBUX"
100881783200940352;"Agilent Technologies, Inc.";"A"
100881783200940353;"Rockwell Automation, Inc.";"ROK"
100881783200940354;"U.S. Bancorp";"USB"
100881783200940355;"Analog Devices, Inc.";"ADI"
100881783200940356;"Pinnacle West Capital Corporation";"PNW"
100881783200940357;"QUALCOMM Incorporated";"QCOM"
100881783200940358;"Vulcan Materials Company";"VMC"
100881783200940359;"Best Buy Co., Inc.";"BBY"
100881783200940360;"NetApp, Inc.";"NTAP"
100881783200940361;"Aflac Incorporated";"AFL"
100881783200940362;"McKesson Corporation";"MCK"
100881783200940363;"Carnival Corporation & plc";"CCL"
100881783200940364;"Danaher Corporation";"DHR"
100881783200940365;"The AES Corporation";"AES"
100881783200940366;"Paychex, Inc.";"PAYX"
100881783200940367;"Waste Management, Inc.";"WM"
100881783200940368;"Regions Financial Corporation";"RF"
100881783200940369;"Capital One Financial Corporation";"COF"
100881783200940370;"Moody's Corporation";"MCO"
100881783200940371;"Marriott International, Inc.";"MAR"
100881783200940372;"Franklin Resources, Inc.";"BEN"
100881783200940373;"Northern Trust Corporation";"NTRS"
100881783200940374;"Omnicom Group Inc.";"OMC"
100881783200940375;"Cincinnati Financial Corporation";"CINF"
100881783200940376;"Truist Financial Corporation";"TFC"
100881783200940377;"FirstEnergy Corp.";"FE"
100881783200940378;"Yum! Brands, Inc.";"YUM"
100881783200940379;"KLA Corporation";"KLAC"
100881783200940380;"Huntington Bancshares Incorporated";"HBAN"
100881783200940381;"The Progressive Corporation";"PGR"
100881783200940382;"APA Corporation";"APA"
100881783200940383;"Equifax Inc.";"EFX"
